,Cluster,Hippo,PI3KAKT
X22RV1_PROSTATE,Cluster I,2394.61237,1791.994731
X2313287_STOMACH,Cluster I,2527.042807,2027.645831
AGS_STOMACH,Cluster I,2621.138653,2157.226745
ASPC1_PANCREAS,Cluster I,2680.727616,2472.234935
AU565_BREAST,Cluster I,2225.629925,1891.076978
BT20_BREAST,Cluster I,2489.069218,2104.506265
BT474_BREAST,Cluster I,2436.269979,2006.321046
BT483_BREAST,Cluster I,2566.72603,2043.732754
CAL148_BREAST,Cluster I,2462.266191,1825.598026
CAMA1_BREAST,Cluster I,2370.263784,1880.206887
CCK81_LARGE_INTESTINE,Cluster I,2320.531849,1905.240264
CL34_LARGE_INTESTINE,Cluster I,2295.297491,2028.084319
CL40_LARGE_INTESTINE,Cluster I,2659.718288,2174.69606
COLO678_LARGE_INTESTINE,Cluster I,2867.728495,2043.748044
COLO684_ENDOMETRIUM,Cluster I,2118.856515,1803.837467
COLO741_SKIN,Cluster I,2078.600725,2099.235481
COLO783_SKIN,Cluster I,2527.811831,2552.360798
COLO792_SKIN,Cluster I,2283.648339,2239.301618
COV434_OVARY,Cluster I,2777.625421,2091.832283
DU4475_BREAST,Cluster I,2854.755028,2054.647147
DV90_LUNG,Cluster I,2641.63103,2095.364765
ECC10_STOMACH,Cluster I,3052.843231,1943.189117
ECC12_STOMACH,Cluster I,2133.44305,1750.354137
EFM19_BREAST,Cluster I,2550.747931,1745.493352
G361_SKIN,Cluster I,2225.196356,2334.675806
GP2D_LARGE_INTESTINE,Cluster I,2579.608577,1894.263515
GSS_STOMACH,Cluster I,3126.200992,2210.21633
GSU_STOMACH,Cluster I,2604.987945,1871.182823
HCC1419_BREAST,Cluster I,2323.409491,1904.621029
HCC1428_BREAST,Cluster I,2388.293112,1975.743588
HCC1500_BREAST,Cluster I,2379.913469,1947.22178
HCC1588_LUNG,Cluster I,2435.108759,2107.51848
HCC1599_BREAST,Cluster I,2639.174874,2115.533243
HCC1806_BREAST,Cluster I,2771.924778,2306.466417
HCC1833_LUNG,Cluster I,2332.911753,1817.261577
HCC1954_BREAST,Cluster I,2602.484462,2270.228715
HCC202_BREAST,Cluster I,2159.31067,1921.409103
HCC2157_BREAST,Cluster I,2305.013331,2043.57293
HCC2218_BREAST,Cluster I,2311.547042,1691.805566
HCC56_LARGE_INTESTINE,Cluster I,2583.922836,2166.684435
HCT15_LARGE_INTESTINE,Cluster I,2818.061678,1815.388687
HEC6_ENDOMETRIUM,Cluster I,3252.362638,2274.82518
HEPG2_LIVER,Cluster I,2484.077354,2262.877734
HS936T_SKIN,Cluster I,2150.494793,2091.964269
HT1197_URINARY_TRACT,Cluster I,2637.576554,2417.787537
HT29_LARGE_INTESTINE,Cluster I,2310.27514,1923.649916
HT55_LARGE_INTESTINE,Cluster I,2654.008019,2189.469023
HUPT4_PANCREAS,Cluster I,2427.057138,2201.96725
IGR37_SKIN,Cluster I,2162.100658,2003.20755
IM95_STOMACH,Cluster I,2339.788928,2151.618953
IPC298_SKIN,Cluster I,2105.939622,2233.299231
JHH5_LIVER,Cluster I,2342.842456,1986.522471
JHOM2B_OVARY,Cluster I,2572.403317,2060.935179
JHUEM2_ENDOMETRIUM,Cluster I,2987.645392,1881.570878
JIMT1_BREAST,Cluster I,2662.889416,2265.681232
K029AX_SKIN,Cluster I,2100.236309,2323.056196
KATOIII_STOMACH,Cluster I,2495.665609,2035.194786
KE39_STOMACH,Cluster I,2550.704555,1970.110554
KNS42_CENTRAL_NERVOUS_SYSTEM,Cluster I,2834.637379,2336.758189
KPL1_BREAST,Cluster I,2626.126371,2071.915195
LK2_LUNG,Cluster I,3134.423683,2284.383117
LNCAPCLONEFGC_PROSTATE,Cluster I,1991.92206,1899.96149
LS1034_LARGE_INTESTINE,Cluster I,2611.93144,2149.940755
