ID,Cluster,MT Score,YAP,PI3KAKT,TGFB,WNT,MAPK,FOXO,TNF,NOTCH,HIF1,CD8
TCGA.2F.A9KO.01,Cluster III,4219.486481,3149.227261,2703.950195,3676.724459,2520.646035,2979.240239,4373.942113,4608.013805,4786.406014,4592.973851,749.8450166
TCGA.2F.A9KT.01,Cluster III,3499.445749,3405.35079,2717.333027,3017.90565,2548.649043,2864.816861,4058.211861,3399.011856,5023.863725,4351.390009,-3872.46552
TCGA.4Z.AA7O.01,Cluster III,4297.422883,3361.178241,2843.940685,3980.974022,2592.116648,2945.640981,4075.502669,3667.457198,5020.653502,4499.868457,-1226.203942
TCGA.4Z.AA7Y.01,Cluster III,3583.737201,3403.551607,2757.521122,3190.452741,2284.528377,3114.242955,4345.621182,3742.566606,4935.892196,5007.812766,-5021.120938
TCGA.4Z.AA82.01,Cluster III,3680.555636,3585.418596,3194.582781,3479.85941,2781.744739,3139.896634,4128.850136,4127.002318,4982.648958,4244.470543,-5080.037131
TCGA.4Z.AA83.01,Cluster III,3372.228886,3218.432559,2947.320921,3131.96254,1904.321506,3200.998225,4168.257481,4479.871575,5043.110577,4998.355755,-4152.594428
TCGA.4Z.AA86.01,Cluster III,4543.342624,3526.788101,3318.336105,3589.534561,2614.067868,3275.482048,4263.086066,5061.464843,4924.889929,4746.015735,832.555616
TCGA.BL.A13J.01,Cluster III,4257.98158,3087.658708,2833.426522,3453.533629,2733.327747,3080.840177,4385.083392,3312.360489,4760.081543,4644.189577,-2831.319357
TCGA.BT.A0S7.01,Cluster III,3413.369213,3048.655638,2642.786924,3310.08375,2461.842114,2816.353028,4220.951377,3523.451018,4735.753253,4542.671232,-394.2259259
TCGA.BT.A0YX.01,Cluster III,3588.217567,3459.857819,2916.108728,3158.207513,2477.927349,2912.226168,4267.023204,4248.113484,4742.88749,4746.503407,-136.5998529
TCGA.BT.A20N.01,Cluster III,3321.247618,3093.128688,2732.158997,2954.908847,2452.770853,2908.639695,4114.350162,3269.848304,4842.815267,4776.145386,-4542.650885
TCGA.BT.A20O.01,Cluster III,4024.595115,2652.504646,3262.238015,3096.838425,2437.541803,3154.148513,4406.017446,4637.846926,4480.731503,4814.941683,5712.748711
TCGA.BT.A20Q.01,Cluster III,4468.26979,3528.683386,3069.536021,3611.759889,2762.01442,3150.445998,4389.02804,3818.599796,5064.916052,4607.440075,-1485.47427
TCGA.BT.A20T.01,Cluster III,3924.082032,3481.830512,2804.792154,3737.512995,2787.634171,2882.041179,3987.084575,3776.808541,4920.495675,4163.170773,-1666.767144
TCGA.BT.A20U.01,Cluster III,3413.329608,3669.072703,2850.310816,3570.41076,2895.064729,2746.540886,4108.448349,3808.679685,4717.614198,4320.523981,-2992.612609
TCGA.BT.A20X.01,Cluster III,4147.03803,3119.974967,2985.229709,3422.450135,2337.582336,3280.960801,4294.588006,4419.414112,4588.836603,4802.411846,-1697.85096
TCGA.BT.A2LB.01,Cluster III,4954.92692,3160.076239,2886.728582,3649.964535,2593.054275,2938.341336,3940.423395,4066.455049,4935.091495,4288.331854,-2633.162428
TCGA.BT.A3PJ.01,Cluster III,4042.613505,3525.758783,3188.78738,3547.53176,2306.378243,3063.411985,4491.763756,5197.111913,4909.928281,4690.943843,-1785.537078
TCGA.BT.A3PK.01,Cluster III,4449.322975,3497.257159,3435.900742,3689.069484,2685.418021,3449.596182,4201.369658,4751.07086,5100.040305,4711.795897,-3153.449478
TCGA.BT.A42C.01,Cluster III,3121.126367,2782.091162,2473.654152,2799.5145,2166.605807,2797.311082,3870.059688,4097.16879,4793.483754,4528.513491,-3430.659231
TCGA.BT.A42E.01,Cluster III,3945.733394,3162.691874,2807.063288,2901.262376,2113.176314,3042.050427,4152.900013,5203.65259,4976.342018,4423.754142,-295.4740212
TCGA.BT.A42F.01,Cluster III,3769.423868,2989.943551,2710.384177,2656.983561,2095.885849,2910.380044,3849.097911,4637.991101,4316.930514,4378.271808,660.5193316
TCGA.C4.A0F0.01,Cluster III,3727.182571,3000.510494,2992.265259,3488.368613,1985.938344,2869.093092,4091.616354,4042.80392,4479.160407,4571.81335,-1205.832384
TCGA.C4.A0F1.01,Cluster III,4261.83335,3282.365829,3149.861675,3263.436581,2258.705512,3052.979559,4461.905039,4244.510304,4918.239845,4812.191,-4363.480678
TCGA.C4.A0F6.01,Cluster III,3944.643468,3383.146678,2527.360327,3495.224671,2517.889595,2670.223091,3864.731144,3160.208916,4987.499625,4401.585,-2759.403026
TCGA.C4.A0F7.01,Cluster III,3729.825646,3460.024471,2939.007617,3431.096961,2746.927949,2960.43173,4534.30643,4057.565049,4847.814167,4616.714796,-4605.158048
TCGA.CF.A1HS.01,Cluster III,4331.421395,3479.34175,3010.925596,3572.24036,2778.540307,3020.74449,4326.733773,3996.016357,4664.786598,4641.476981,-3436.905372
TCGA.CF.A9FL.01,Cluster III,4211.137259,3246.545817,2783.188421,3789.819641,2659.25524,2725.79238,3865.560269,2963.860976,5180.607721,4277.474748,-3009.177896
TCGA.CU.A0YN.01,Cluster III,4623.127546,3651.775565,3267.036723,3554.07733,2488.77074,3261.382668,4281.372903,4433.325074,4868.180984,4665.455283,-1723.403203
TCGA.CU.A0YO.01,Cluster III,4286.149566,3638.747836,3181.133376,3678.359819,2967.471061,3301.295443,4372.487345,4462.80386,4838.550299,4599.097405,-3348.765174
TCGA.CU.A3KJ.01,Cluster III,3381.560528,3253.656682,2911.559619,3097.484206,2166.775467,3226.569189,4479.264702,4903.830792,4879.43681,4922.762708,-1734.519307
TCGA.CU.A72E.01,Cluster III,3430.938065,3163.13684,2796.405858,2836.663596,2397.993679,2747.618841,4222.673591,3510.88997,5009.628585,4492.67262,-3884.516014
TCGA.DK.A1A5.01,Cluster III,4078.105982,3402.142039,2963.618512,3440.232333,2727.905715,2945.623362,4162.315786,3696.243932,4794.549328,4479.695746,-2658.98855
TCGA.DK.A1AB.01,Cluster III,4402.633601,3770.583836,3347.853866,3801.875332,3154.684069,3221.699302,4365.824028,4495.803928,4929.503826,4707.659756,-3154.304923
TCGA.DK.A1AE.01,Cluster III,3046.352194,3488.481243,2729.535725,3276.203191,2717.879565,2513.448773,4250.869359,3212.267905,4655.893267,4495.477046,-3500.593006
TCGA.DK.A2I2.01,Cluster III,4597.450124,3042.727429,3124.317646,3427.964603,2180.339844,3041.156522,4128.706209,5034.70662,4637.53714,4638.35483,-3100.763967
TCGA.DK.A2I6.01,Cluster III,3305.838626,3218.950312,2722.041095,2931.749959,2479.698904,2905.296897,3567.08444,3819.95617,4581.287344,4290.038108,-3172.97763
TCGA.DK.A3IM.01,Cluster III,3060.729704,3256.247109,2627.774699,3130.746439,2620.187047,2773.35427,4297.751255,3465.102264,4790.057876,4587.833559,-4058.377246
TCGA.DK.A3IN.01,Cluster III,4613.554308,3347.694736,3100.545464,3463.335763,2703.875649,2968.790547,4095.00097,4030.716868,5102.312085,4550.839867,-2405.937793
TCGA.DK.A3WW.01,Cluster III,3556.113032,3005.005708,2983.266785,3276.52477,1846.33602,3049.522591,4332.354689,4725.458956,4251.40104,4624.861268,2338.139906
TCGA.DK.A3WX.01,Cluster III,4156.239811,3453.452847,3178.648477,3624.065199,2431.608069,3167.525115,4165.19067,4856.635243,4816.429894,4580.998373,-1258.230004
TCGA.DK.AA6L.01,Cluster III,2753.860654,2877.474319,2752.868571,2532.229068,1932.338796,2730.805899,3851.819615,3855.237427,4790.753494,4402.997217,-3270.61042
TCGA.DK.AA6M.01,Cluster III,3742.398329,3427.956357,2976.865408,3215.761909,2216.807909,3057.422985,3948.410867,4230.008058,4572.161296,4102.448541,-2817.521564
TCGA.DK.AA6Q.01,Cluster III,3720.062852,3840.81181,2638.742293,3021.819374,2855.012499,2697.608819,4171.507167,3939.579642,4863.831766,4170.736453,1177.648477
TCGA.DK.AA6R.01,Cluster III,2946.648698,3242.406361,2953.596962,3056.676298,2315.491303,2979.94374,4225.945663,4211.558857,4349.704593,4487.535676,-2887.26438
TCGA.DK.AA6S.01,Cluster III,4342.523098,3786.79316,3123.843475,3727.436626,2927.523419,2899.147529,4063.263754,4099.826504,5055.095379,4398.553115,-2287.018037
TCGA.DK.AA74.01,Cluster III,4517.676815,3037.734673,3235.835713,3012.350642,2427.388449,3061.786334,3820.660938,4863.048662,4793.733106,4412.889424,325.5175352
TCGA.E5.A2PC.01,Cluster III,2694.72968,3007.263194,2518.364088,2383.428891,2254.254767,2454.525413,3890.313444,3775.932386,5014.465993,4389.510943,-1825.95382
TCGA.E7.A3X6.01,Cluster III,2888.924655,2954.685373,2819.371959,2765.983609,2159.115155,2775.032746,4115.419691,4088.638033,5031.071198,4525.63519,-716.2073359
TCGA.E7.A7DV.01,Cluster III,3375.552392,2586.220082,2927.777862,2452.886768,1880.913525,2848.803714,3817.458755,4218.679376,3881.307192,4515.016502,-1121.192697
TCGA.E7.A7XN.01,Cluster III,2413.328175,3065.667109,2687.061811,3160.052065,1983.330885,2709.984832,4280.819076,4720.22736,4548.181293,4371.661384,3417.208942
TCGA.E7.A97P.01,Cluster III,3957.246552,3257.556896,3198.235313,3332.449599,2447.627345,3122.004342,4199.62982,4738.830667,4805.985802,4584.574217,2864.694361
TCGA.FD.A3B3.01,Cluster III,4532.585307,3373.068922,3442.633721,3783.006713,2689.175324,3360.352923,4537.88061,5353.247529,4693.106733,4898.622186,321.2482319
TCGA.FD.A3B4.01,Cluster III,4286.19008,3706.137914,3362.345036,4021.310306,2899.905446,3150.015293,4273.817065,4430.41524,4797.750319,4462.180794,-2146.973839
TCGA.FD.A3B5.01,Cluster III,3728.148485,3240.046358,2989.559178,3379.697379,2305.177988,3196.497936,4301.906476,3881.838311,4770.747132,4801.774782,-3479.237705
TCGA.FD.A3B6.01,Cluster III,3474.277828,3131.442856,2828.610726,2808.055703,2187.273466,2819.150742,3558.798288,4287.618185,4463.760411,4353.597871,268.6873777
TCGA.FD.A3B7.01,Cluster III,4800.886851,3288.645867,3724.068561,3554.946695,2628.563255,3525.397703,4371.389717,5069.00887,5296.939468,5140.805338,2733.502376
TCGA.FD.A3N5.01,Cluster III,3271.11118,3481.487148,3102.362289,3367.386453,2392.978333,3250.876132,4283.357214,4238.228825,4803.059989,4834.442261,-2558.996958
TCGA.FD.A3N6.01,Cluster III,3416.393651,3609.060269,2823.758142,3513.979552,2495.421842,3032.482781,4331.402802,3914.424482,4815.832453,4657.496745,-1572.301254
TCGA.FD.A3NA.01,Cluster III,4026.791184,3288.652003,2916.58522,3362.658722,2532.530301,2852.829697,3935.512376,3984.463557,4620.879954,4487.444265,-2245.482003
TCGA.FD.A3SN.01,Cluster III,3830.540427,3491.23727,2957.205788,3281.753737,2560.803634,2845.779255,3913.95309,3847.182898,4816.061085,4374.750243,-2363.822982
TCGA.FD.A3SO.01,Cluster III,4129.066909,3434.405836,3150.251572,3524.970627,2536.816607,3001.916304,4220.774509,4369.309218,4690.516511,4555.452447,-2849.104663
TCGA.FD.A3SP.01,Cluster III,5161.517008,3588.262413,3599.046562,3688.212757,3058.596042,3439.721741,4395.630204,4969.474075,5268.066147,4895.494842,-1082.454769
TCGA.FD.A43N.01,Cluster III,4605.263158,3374.064947,2812.085957,3237.15983,2645.908453,2898.327174,4109.084427,4147.887385,4963.475244,4556.62398,-3731.571807
TCGA.FD.A43Y.01,Cluster III,3975.919657,3321.661589,2968.779155,3149.304285,2647.729031,2791.723933,4053.616525,3861.8355,4690.639163,4362.274872,-2301.975695
TCGA.FD.A5BR.01,Cluster III,4802.125157,3498.613142,3135.584754,3663.2999,2710.874228,3155.828079,4133.65853,4175.979149,4862.841943,4334.826345,-4051.173762
TCGA.FD.A5BT.01,Cluster III,4599.818804,3019.035491,2989.055318,2995.612866,2337.821899,3007.909871,3772.801078,4080.263712,4234.109436,4187.590081,1676.462988
TCGA.FD.A5BU.01,Cluster III,4475.973947,3480.427677,3340.046649,3582.935633,2642.235387,3167.685417,4270.904044,4429.935668,5015.878683,4633.298529,-2957.236985
TCGA.FD.A5BY.01,Cluster III,3456.76939,3232.505221,2846.617739,3316.839032,2465.285992,2705.272714,4039.679687,3961.744993,4867.48352,4252.305891,-3024.448639
TCGA.FD.A5C1.01,Cluster III,4213.008334,3314.488405,3008.359372,3116.489777,2129.807058,3050.104537,4011.057717,4917.852551,4383.908509,4253.247014,-47.76645027
TCGA.FD.A62N.01,Cluster III,4418.037891,3124.24829,3373.032385,3270.340711,2356.424113,3203.456514,4269.719659,4952.845801,4990.303191,4776.106624,4891.046454
TCGA.FD.A62O.01,Cluster III,4590.985548,3566.28984,2817.46109,3719.033948,2651.904887,2657.681355,3990.908533,3490.734364,4843.699899,4396.71554,-4635.147958
TCGA.FD.A62P.01,Cluster III,3359.346269,3194.440493,2936.66686,3024.10788,2465.128604,2925.170664,4104.433947,4048.678212,4454.864587,4299.198704,-264.1093239
TCGA.FD.A62S.01,Cluster III,4785.43167,3709.443738,3492.228295,3741.098261,3158.405348,3377.585223,4482.324263,4415.189442,5163.939266,4753.421574,-2914.845517
TCGA.FD.A6TC.01,Cluster III,3813.087704,3200.095313,2737.963947,3255.486079,2323.802994,2781.427365,4165.623575,3838.743681,4700.30954,4180.339723,-5049.329958
TCGA.FD.A6TD.01,Cluster III,4334.037266,3025.021854,3245.733346,3130.135687,2127.638514,3196.538098,4153.480251,4767.836102,4694.089314,4586.153749,-1224.837341
TCGA.FD.A6TK.01,Cluster III,4257.307827,3735.431585,3358.399932,3651.027972,2632.964073,3248.116718,4135.948697,4466.188612,4646.654727,4365.534923,30.01801848
TCGA.FT.A3EE.01,Cluster III,3915.053064,3606.717586,3106.957934,3652.557926,2553.743824,3176.9918,4103.987205,3882.049489,4939.431903,4508.069483,-3962.464095
TCGA.G2.A2EF.01,Cluster III,3708.482651,2823.213762,3123.294957,3112.177998,1977.876329,2915.983209,4151.553967,4473.053053,4668.348338,4699.857723,-305.5992169
TCGA.G2.A2EJ.01,Cluster III,3446.123451,3272.023957,2731.334026,3255.900281,2241.05383,2959.253602,4254.32467,4824.603323,4508.303585,4499.61352,-2140.207112
TCGA.G2.A2EO.01,Cluster III,4524.741742,3027.181121,2715.373526,3609.860576,2404.428067,2776.100172,4085.66835,3479.98498,4365.505864,4668.755599,545.2423027
TCGA.G2.A2ES.01,Cluster III,4210.499633,3204.764164,2969.005977,3579.92627,2278.898871,2902.770228,3988.377356,4521.947438,4454.662514,4613.831123,-2174.940293
TCGA.G2.A3IB.01,Cluster III,4057.260899,3687.735739,2757.425015,3357.999706,2630.365278,2831.092577,4077.615169,3683.05097,4769.212248,4453.158901,-3763.030827
TCGA.GC.A3I6.01,Cluster III,3384.723252,3535.373403,3034.277058,3697.301938,2751.558865,2917.431314,4459.144601,4286.806333,4657.11205,4333.921283,-2933.966718
TCGA.GC.A3RC.01,Cluster III,3626.486599,3363.689968,3021.75851,3352.335665,2361.048797,2976.673988,4316.537257,4175.585576,5030.01314,4652.448964,-353.9235742
TCGA.GC.A3WC.01,Cluster III,3624.087462,3179.238584,3025.616975,3076.338676,2462.71944,2927.848077,4424.976538,4396.13755,4731.75592,4498.939577,64.02771723
TCGA.GC.A3YS.01,Cluster III,3972.183079,3305.335618,3246.990816,3331.8225,2384.298772,3117.859291,4183.685506,4133.544614,4923.289619,4346.027602,-3828.544084
TCGA.GC.A6I1.01,Cluster III,3742.118424,3087.784603,3003.947572,2822.715311,2182.824546,2945.991374,3975.072136,4882.75339,4504.678086,4595.77063,1837.739632
TCGA.GD.A3OQ.01,Cluster III,4290.638365,3733.45207,2992.524173,3440.247879,2647.748432,3123.336986,4163.448787,4309.869471,4687.71228,4478.691705,-3476.319443
TCGA.GU.A42Q.01,Cluster III,3981.200703,3723.820372,2901.702471,3367.260164,2759.207171,2792.417881,4647.192422,3551.458121,4824.6284,4686.559948,-4500.74262
TCGA.GU.A762.01,Cluster III,4011.079484,3321.334628,3149.405495,2876.622101,2620.538412,2985.581671,4016.234831,4345.80151,4991.37177,4230.882071,2968.821333
TCGA.GU.A764.01,Cluster III,4360.834017,3292.239972,3142.741719,3246.614548,2493.875088,3067.7382,3873.612821,4312.942652,4582.467484,4254.388682,-1895.895556
TCGA.GU.A766.01,Cluster III,4300.636394,3004.939729,3098.590295,3182.531274,1909.304459,3204.206106,4008.131697,5383.809691,4588.988905,4640.43537,1792.364089
TCGA.GU.AATQ.01,Cluster III,3437.642684,3454.704976,2597.245266,2823.656081,2606.397515,2532.615474,3871.487036,3693.089134,5115.015701,4436.140449,-3419.458143
TCGA.GV.A40E.01,Cluster III,3709.679336,3233.894691,2891.862675,2885.412121,2066.530927,2998.18559,3697.601479,4562.252987,4498.214157,4256.065656,-2032.614949
TCGA.HQ.A5ND.01,Cluster III,3160.579731,2899.389477,2805.97974,2862.717634,2279.099524,2839.913418,3817.208786,3929.275015,4752.664071,4533.929499,-2560.427186
TCGA.HQ.A5NE.01,Cluster III,4166.773289,3545.857534,3257.455813,3567.231081,2467.745121,3347.737939,4431.958992,5063.266231,4647.971972,4471.609442,-4047.675588
TCGA.K4.A4AB.01,Cluster III,4478.057971,3581.906617,3227.855763,3689.127296,2864.506098,3367.318331,4243.202073,4593.267806,5363.902535,4516.35955,-4019.478143
TCGA.K4.A4AC.01,Cluster III,3302.210314,3248.516408,2812.947703,2757.628433,2370.895134,2940.387887,4066.12148,4449.506006,4424.349602,4311.721051,-2886.731181
TCGA.K4.A54R.01,Cluster III,3691.706852,2981.155956,2702.898589,3220.012531,2038.607855,2829.134982,4164.296748,4246.778987,4342.071843,4798.990385,-333.7274349
TCGA.K4.A5RH.01,Cluster III,4267.982399,3062.655162,3228.411376,3526.2222,2546.751196,3112.669648,4209.683454,4517.844953,4363.99785,4507.347604,4370.396359
TCGA.K4.A5RI.01,Cluster III,3393.739026,3285.367834,2873.820298,3166.692225,2764.27837,2625.550507,4164.518879,3565.690998,4663.837347,4492.114617,-3950.50837
TCGA.K4.A6FZ.01,Cluster III,4074.560578,3340.911392,3104.728757,3175.988904,2225.496165,3221.210666,4297.064637,5249.429864,4729.450053,4736.56621,-2628.00162
TCGA.LC.A66R.01,Cluster III,3662.091185,3351.485535,3139.210748,3172.468747,2211.745805,3143.365458,4383.940305,4619.090603,4819.760853,4634.333124,377.405361
TCGA.PQ.A6FI.01,Cluster III,3027.465689,2941.430478,2836.522491,2924.884173,2028.962495,2839.689543,4075.939809,4274.011213,4479.618371,4470.081831,-1932.032771
TCGA.PQ.A6FN.01,Cluster III,3570.37837,3019.965382,2716.227907,2741.693535,2194.837469,2712.437557,3554.783259,3514.448133,4256.225439,3905.933843,-2163.597025
TCGA.SY.A9G5.01,Cluster III,3871.165722,3434.588751,2922.332771,2982.558355,2641.838836,3014.577486,3938.021726,4507.814026,4591.790963,4144.552182,491.4226863
TCGA.UY.A78L.01,Cluster III,3674.215132,2971.866206,2796.721892,3153.2841,2051.15397,2683.724102,4041.255224,4237.92862,4260.833614,4577.334263,-3887.934267
TCGA.UY.A78M.01,Cluster III,3889.357093,3097.239276,2309.834209,3030.091089,2452.573421,2529.823607,3397.281526,3407.981597,4361.541917,3936.226318,-5180.677719
TCGA.UY.A78P.01,Cluster III,3757.847721,2962.171642,3043.188138,3033.076175,2204.4049,2969.038784,3956.503567,4927.546179,4500.340993,4482.927311,-285.7749548
TCGA.UY.A8OB.01,Cluster III,2318.307969,3169.427973,2547.299672,2789.767017,1927.779887,2783.997553,3895.117707,3869.061258,4290.853654,4294.550913,-1497.87884
TCGA.UY.A8OC.01,Cluster III,5192.109635,3490.709266,3194.269567,3734.844937,2468.54244,3170.269346,4046.105061,3822.851115,5154.798987,4363.591031,-3744.553142
TCGA.UY.A9PA.01,Cluster III,3802.013235,3483.914442,2802.625297,3264.824,2477.549951,3088.248349,4410.672572,4464.18357,4981.76496,4452.071573,-563.4750678
TCGA.UY.A9PB.01,Cluster III,4215.857959,3286.398347,3120.582544,3489.605256,2424.705647,3126.131889,4163.908848,4875.561607,4853.648489,4652.255323,122.2775752
