ID,Cluster,AKT,AKT_pS473,AKT_pT308,YAP,YAP_pS127,YAP-p-YAP,p-AKT,AKTSCORE
TCGA.2F.A9KO.01,Cluster III,-0.23624,-0.81964,-0.20311,0.068203,-0.18653,0.254733,-1.02275,-5.86119
TCGA.2F.A9KT.01,Cluster III,-0.48928,-1.7296,-0.83457,0.36103,-0.31764,0.67867,-2.56417,-2.3810312
TCGA.4Z.AA7O.01,Cluster III,0.19495,-0.54222,-0.37182,-0.12209,-0.40825,0.28616,-0.91404,-5.06753
TCGA.4Z.AA7Y.01,Cluster III,0.12771,-0.41865,-0.70989,-0.02303,-0.19615,0.17312,-1.12854,-1.27739
TCGA.4Z.AA82.01,Cluster III,0.099763,-0.42631,-0.53873,0.18882,0.59931,-0.41049,-0.96504,1.6308939
TCGA.4Z.AA83.01,Cluster III,0.61841,-0.14521,-0.70658,-0.052513,-0.086515,0.034002,-0.85179,-1.11439
TCGA.4Z.AA86.01,Cluster III,0.19175,-1.4619,-1.0046,0.32142,-0.039106,0.360526,-2.4665,-0.0024125
TCGA.BL.A13J.01,Cluster III,0.0047371,-1.1612,-0.95436,0.3708,-0.13227,0.50307,-2.11556,-2.30122
TCGA.BT.A0S7.01,Cluster III,0.047824,-0.3492,-0.48616,0.39193,1.1023,-0.71037,-0.83536,-2.74852
TCGA.BT.A0YX.01,Cluster III,-0.19131,0.89518,0.50238,-0.042901,-0.55526,0.512359,1.39756,1.408
TCGA.BT.A20N.01,Cluster III,0.0014306,-0.93667,-0.28207,0.18723,-0.47882,0.66605,-1.21874,-5.65257
TCGA.BT.A20O.01,Cluster III,0.25875,-1.4185,-1.2338,-0.10912,-1.5505,1.44138,-2.6523,-0.443247
TCGA.BT.A20Q.01,Cluster III,0.26702,-1.3734,-0.37443,0.11052,0.22146,-0.11094,-1.74783,-4.06822
TCGA.BT.A20T.01,Cluster III,0.043493,-1.2072,-0.76157,0.51664,0.53851,-0.02187,-1.96877,-3.565819
TCGA.BT.A20U.01,Cluster III,0.60524,-1.1924,-0.74285,0.47372,-0.020652,0.494372,-1.93525,-4.736682
TCGA.BT.A20X.01,Cluster III,0.42019,-1.0884,-0.75674,0.36646,-0.57422,0.94068,-1.84514,-6.20535
TCGA.BT.A2LB.01,Cluster III,0.45803,-0.13025,-0.45175,0.26741,0.028347,0.239063,-0.582,-4.60885
TCGA.BT.A3PJ.01,Cluster III,-0.056995,-1.2171,-1.2898,0.30242,0.21909,0.08333,-2.5069,0.668019
TCGA.BT.A3PK.01,Cluster III,-1.3577,-1.3124,-0.41634,0.55826,1.0767,-0.51844,-1.72874,2.936304
TCGA.BT.A42C.01,Cluster III,-0.45182,-0.72637,-0.70882,-0.2515,-0.18762,-0.06388,-1.43519,-1.088892
TCGA.BT.A42E.01,Cluster III,-0.11933,-0.85676,-0.77773,2.0869,2.9947,-0.9078,-1.63449,0.8750216
TCGA.C4.A0F0.01,Cluster III,0.62086,-0.72606,-0.44828,1.7354,1.6098,0.1256,-1.17434,1.767724
TCGA.C4.A0F1.01,Cluster III,0.53144,-0.091704,0.37264,0.3087,0.23712,0.07158,0.280936,-0.685259
TCGA.C4.A0F6.01,Cluster III,0.49059,0.32395,1.1292,0.41636,0.44218,-0.02582,1.45315,-2.7493
TCGA.C4.A0F7.01,Cluster III,0.71246,-0.36248,-0.6792,0.070394,-0.074924,0.145318,-1.04168,1.425506
TCGA.CF.A1HS.01,Cluster III,-0.12769,-1.2551,-0.86056,-0.017486,-0.34568,0.328194,-2.11566,-1.5948766
TCGA.CF.A9FL.01,Cluster III,0.17204,-0.15827,-0.00048307,0.27405,0.61668,-0.34263,-0.15875307,-7.22162
TCGA.CU.A0YN.01,Cluster III,-0.85195,-0.32292,-0.212,-0.2725,-1.6521,1.3796,-0.53492,2.36525
TCGA.CU.A3KJ.01,Cluster III,0.47207,-0.73477,-0.79346,0.065111,-0.019042,0.084153,-1.52823,1.544143
TCGA.CU.A72E.01,Cluster III,0.24338,-1.2608,-1.1496,0.25234,0.010705,0.241635,-2.4104,2.70231
TCGA.DK.A1A5.01,Cluster III,-0.23814,-0.96374,-0.87674,0.29454,-0.044693,0.339233,-1.84048,-2.02155
TCGA.DK.A1AB.01,Cluster III,0.48147,0.23228,0.76006,0.13014,0.51967,-0.38953,0.99234,-2.41965
TCGA.DK.A1AE.01,Cluster III,0.43489,-1.068,-1.2294,-0.014726,-0.28347,0.268744,-2.2974,-0.621769
TCGA.DK.A2I2.01,Cluster III,0.62695,-0.70293,-0.4259,0.42316,0.34029,0.08287,-1.12883,-3.00432
TCGA.DK.A3IM.01,Cluster III,-1.0836,-1.2365,0.1443,0.16762,-1.3529,1.52052,-1.0922,-6.15441
TCGA.DK.A3IN.01,Cluster III,-0.086565,0.30696,0.6199,0.19516,-0.14894,0.3441,0.92686,-1.76241
TCGA.DK.A3WW.01,Cluster III,-0.55805,-0.85522,-0.36403,0.19995,0.053237,0.146713,-1.21925,-2.23591
TCGA.DK.A3WX.01,Cluster III,-1.9614,-0.64018,-0.70797,1.2054,1.072,0.1334,-1.34815,-4.86928
TCGA.DK.AA6L.01,Cluster III,0.2201,-0.95281,-0.80778,0.33902,0.4195,-0.08048,-1.76059,-2.74015
