ID,Cluster,IFNG
TCGA.FR.A7UA.06,Cluster II,12.83961477
TCGA.W3.AA1W.06,Cluster II,12.8093876
TCGA.HR.A2OH.06,Cluster II,12.80830719
TCGA.FI.A2CX.01,Cluster IV,12.33912059
TCGA.YU.A90S.01,Cluster II,11.63478008
TCGA.WN.A9G9.01,Cluster I,11.74974553
TCGA.EB.A5VV.06,Cluster IV,10.81022793
TCGA.ER.A19S.06,Cluster II,13.05982432
TCGA.VF.A8AB.01,Cluster II,11.37045134
TCGA.CN.6013.01,Cluster III,11.69310407
TCGA.D3.A2J9.06,Cluster IV,12.24213494
TCGA.ER.A1A1.06,Cluster II,9.212054659
TCGA.A8.A08I.01,Cluster I,11.38912087
TCGA.VS.A958.01,Cluster III,12.38333291
TCGA.DA.A1IB.06,Cluster IV,11.34818438
TCGA.XY.A89B.01,Cluster II,11.10088013
TCGA.D3.A51H.06,Cluster II,10.51372814
TCGA.61.2094.01,Cluster II,11.80747829
TCGA.DG.A2KM.01,Cluster III,12.93604197
TCGA.ZM.AA05.01,Cluster II,11.56031692
TCGA.P3.A5Q5.01,Cluster II,10.89870713
TCGA.EE.A2M8.06,Cluster IV,12.4258551
TCGA.AO.A0JC.01,Cluster IV,11.26442963
TCGA.DA.A3F8.06,Cluster II,12.39949653
TCGA.DK.A3IV.01,Cluster I,9.126209574
TCGA.EE.A2GK.06,Cluster IV,9.613018808
TCGA.ZM.AA0H.01,Cluster II,11.2759455
TCGA.BB.7861.01,Cluster III,13.17451711
TCGA.BH.A0H5.01,Cluster IV,11.54414927
TCGA.06.0171.02,Cluster IV,7.422919155
TCGA.ER.A19P.06,Cluster II,11.90758042
TCGA.2G.AAHC.01,Cluster II,11.34734852
TCGA.D3.A8GD.06,Cluster II,11.37183807
TCGA.E9.A2JT.01,Cluster IV,11.01489418
TCGA.B8.A54G.01,Cluster I,11.13459293
TCGA.CR.5248.01,Cluster III,10.98776918
TCGA.2G.AAHA.01,Cluster II,11.84541292
TCGA.CN.A6V1.01,Cluster II,11.69283388
TCGA.85.A4PA.01,Cluster II,9.010982117
TCGA.AR.A1AW.01,Cluster IV,11.5213374
TCGA.ER.A19W.06,Cluster II,12.55561207
TCGA.ZF.A9R7.01,Cluster II,11.43170853
TCGA.62.A46U.01,Cluster II,12.22668009
TCGA.EM.A2CP.01,Cluster IV,10.55847625
TCGA.E7.A7XN.01,Cluster III,12.83384101
TCGA.B2.3924.01,Cluster IV,11.92647065
TCGA.A5.A0G1.01,Cluster II,11.90647316
TCGA.97.A4M2.01,Cluster IV,9.586763538
TCGA.DJ.A13R.01,Cluster I,11.26917307
TCGA.HZ.8637.01,Cluster IV,11.90550756
TCGA.B5.A11Y.01,Cluster II,11.04596181
TCGA.D3.A51F.06,Cluster IV,12.60363083
TCGA.EE.A2MJ.06,Cluster II,11.26603412
TCGA.D3.A3CB.06,Cluster IV,10.46053749
TCGA.B8.5164.01,Cluster IV,11.1663014
TCGA.55.7728.01,Cluster II,8.692801268
TCGA.24.2267.01,Cluster II,10.20320661
TCGA.IG.A4QT.01,Cluster IV,9.31331687
TCGA.D8.A73U.01,Cluster IV,11.4620573
TCGA.CJ.4916.01,Cluster IV,11.25759157
TCGA.EE.A3JH.06,Cluster IV,11.20898508
TCGA.GF.A4EO.06,Cluster II,11.89692182
TCGA.EB.A5SG.06,Cluster II,13.0140926
TCGA.AO.A128.01,Cluster II,13.41346507
TCGA.EJ.8470.01,Cluster IV,9.724853431
TCGA.HE.7128.01,Cluster I,2.583680919
TCGA.ZM.AA0D.01,Cluster II,11.39881321
TCGA.56.8623.01,Cluster IV,8.510135517
TCGA.FR.A44A.06,Cluster II,12.71557489
TCGA.DK.A6B6.01,Cluster I,9.278905008
TCGA.04.1357.01,Cluster II,11.36139795
TCGA.A5.A1OF.01,Cluster II,10.73154055
TCGA.C5.A1BK.01,Cluster II,12.59342533
TCGA.ZM.AA0E.01,Cluster II,10.32376816
TCGA.GM.A2DO.01,Cluster II,10.85984917
TCGA.BS.A0TA.01,Cluster II,12.26886699
TCGA.B0.5075.01,Cluster I,8.853506392
TCGA.EE.A2ME.06,Cluster IV,12.02871748
TCGA.EB.A44Q.06,Cluster II,10.84671969
TCGA.HC.7079.01,Cluster IV,10.56744426
TCGA.CV.7427.01,Cluster III,12.42020392
TCGA.IR.A3LL.01,Cluster II,12.15221495
TCGA.BH.A0C0.01,Cluster II,11.5361344
TCGA.85.8355.01,Cluster III,9.719116889
TCGA.AP.A0LF.01,Cluster II,9.820770064
TCGA.B6.A0RT.01,Cluster IV,11.90889365
TCGA.BP.4346.01,Cluster IV,11.78307291
TCGA.B8.4148.01,Cluster IV,11.10024425
TCGA.B5.A11N.01,Cluster IV,11.61269694
TCGA.D9.A6E9.06,Cluster II,11.46121029
TCGA.BS.A0UM.01,Cluster II,9.569433347
TCGA.VS.A9UD.01,Cluster II,12.46494497
TCGA.D3.A3C8.06,Cluster II,13.64421544
TCGA.UY.A9PH.01,Cluster II,10.33646956
TCGA.D3.A1QB.06,Cluster II,11.92952425
TCGA.A2.A0ST.01,Cluster IV,12.232537
TCGA.EW.A1J5.01,Cluster IV,9.581909851
TCGA.E8.A417.01,Cluster I,9.111124832
TCGA.CZ.4864.01,Cluster IV,11.16063729
TCGA.CV.6955.01,Cluster III,9.778758718
TCGA.A3.3326.01,Cluster IV,8.54848347
TCGA.4K.AA1I.01,Cluster II,11.60137238
TCGA.C8.A1HM.01,Cluster II,12.35205662
TCGA.FP.A9TM.01,Cluster I,7.346433976
TCGA.09.0366.01,Cluster II,4.779974535
TCGA.86.A4P8.01,Cluster IV,9.207109245
TCGA.MT.A67F.01,Cluster III,12.43408391
