ID,Cluster,TNF-Signature
TCGA.2F.A9KO.01,Cluster III,2952.443803
TCGA.2F.A9KT.01,Cluster III,1979.891172
TCGA.4Z.AA7O.01,Cluster III,2330.755832
TCGA.4Z.AA7Y.01,Cluster III,2043.880249
TCGA.4Z.AA82.01,Cluster III,2484.965014
TCGA.4Z.AA83.01,Cluster III,2628.872735
TCGA.4Z.AA86.01,Cluster III,3080.506544
TCGA.BL.A13J.01,Cluster III,2102.019036
TCGA.BT.A0S7.01,Cluster III,2054.640981
TCGA.BT.A0YX.01,Cluster III,2421.625612
TCGA.BT.A20N.01,Cluster III,1743.95551
TCGA.BT.A20O.01,Cluster III,3491.80395
TCGA.BT.A20Q.01,Cluster III,2620.295221
TCGA.BT.A20T.01,Cluster III,2530.279274
TCGA.BT.A20U.01,Cluster III,2299.045341
TCGA.BT.A20X.01,Cluster III,2398.995801
TCGA.BT.A2LB.01,Cluster III,2535.590545
TCGA.BT.A3PJ.01,Cluster III,2658.127095
TCGA.BT.A3PK.01,Cluster III,2761.62911
TCGA.BT.A42C.01,Cluster III,2025.90027
TCGA.BT.A42E.01,Cluster III,2868.765758
TCGA.BT.A42F.01,Cluster III,2916.829927
TCGA.C4.A0F0.01,Cluster III,2178.567564
TCGA.C4.A0F1.01,Cluster III,2456.046983
TCGA.C4.A0F6.01,Cluster III,1922.489079
TCGA.C4.A0F7.01,Cluster III,1952.805302
TCGA.CF.A1HS.01,Cluster III,2173.863335
TCGA.CF.A9FL.01,Cluster III,2069.065065
TCGA.CU.A0YN.01,Cluster III,2601.701791
TCGA.CU.A0YO.01,Cluster III,2719.369325
TCGA.CU.A3KJ.01,Cluster III,2363.430026
TCGA.CU.A72E.01,Cluster III,2308.204165
TCGA.DK.A1A5.01,Cluster III,2302.732465
TCGA.DK.A1AB.01,Cluster III,2766.35734
TCGA.DK.A1AE.01,Cluster III,1736.790138
TCGA.DK.A2I2.01,Cluster III,3061.008355
TCGA.DK.A2I6.01,Cluster III,2032.827471
TCGA.DK.A3IM.01,Cluster III,1452.445322
TCGA.DK.A3IN.01,Cluster III,2578.645969
TCGA.DK.A3WW.01,Cluster III,3002.042163
TCGA.DK.A3WX.01,Cluster III,2678.434136
TCGA.DK.AA6L.01,Cluster III,2314.889829
TCGA.DK.AA6M.01,Cluster III,2805.862398
TCGA.DK.AA6Q.01,Cluster III,2314.089081
TCGA.DK.AA6R.01,Cluster III,2319.99467
TCGA.DK.AA6S.01,Cluster III,2745.575531
TCGA.DK.AA74.01,Cluster III,3474.087972
TCGA.E5.A2PC.01,Cluster III,2175.506339
TCGA.E7.A3X6.01,Cluster III,2657.009047
TCGA.E7.A7DV.01,Cluster III,3042.577096
TCGA.E7.A7XN.01,Cluster III,2996.998548
TCGA.E7.A97P.01,Cluster III,3105.267285
TCGA.FD.A3B3.01,Cluster III,3261.92159
TCGA.FD.A3B4.01,Cluster III,2703.74106
TCGA.FD.A3B5.01,Cluster III,2120.677545
TCGA.FD.A3B6.01,Cluster III,2725.84581
TCGA.FD.A3B7.01,Cluster III,3192.006684
TCGA.FD.A3N5.01,Cluster III,2404.584109
TCGA.FD.A3N6.01,Cluster III,2376.26446
TCGA.FD.A3NA.01,Cluster III,2430.340517
TCGA.FD.A3SN.01,Cluster III,2343.517976
TCGA.FD.A3SO.01,Cluster III,2610.405844
TCGA.FD.A3SP.01,Cluster III,3135.387222
TCGA.FD.A43N.01,Cluster III,2347.281698
TCGA.FD.A43Y.01,Cluster III,2411.990636
TCGA.FD.A5BR.01,Cluster III,2650.895435
TCGA.FD.A5BT.01,Cluster III,3442.245849
TCGA.FD.A5BU.01,Cluster III,2828.814703
TCGA.FD.A5BY.01,Cluster III,2257.80172
TCGA.FD.A5C1.01,Cluster III,3275.63988
TCGA.FD.A62N.01,Cluster III,3766.445639
TCGA.FD.A62O.01,Cluster III,1997.967718
TCGA.FD.A62P.01,Cluster III,2591.040472
TCGA.FD.A62S.01,Cluster III,2747.997683
TCGA.FD.A6TC.01,Cluster III,2165.967206
TCGA.FD.A6TD.01,Cluster III,2939.578169
TCGA.FD.A6TK.01,Cluster III,2977.677759
TCGA.FT.A3EE.01,Cluster III,2145.150356
TCGA.G2.A2EF.01,Cluster III,2516.276377
TCGA.G2.A2EJ.01,Cluster III,2621.524561
TCGA.G2.A2EO.01,Cluster III,2522.935042
TCGA.G2.A2ES.01,Cluster III,2670.701531
TCGA.G2.A3IB.01,Cluster III,2160.17198
TCGA.GC.A3I6.01,Cluster III,2614.988735
TCGA.GC.A3RC.01,Cluster III,2449.69999
TCGA.GC.A3WC.01,Cluster III,2923.628653
TCGA.GC.A3YS.01,Cluster III,2487.628001
TCGA.GC.A6I1.01,Cluster III,3077.751221
TCGA.GD.A3OQ.01,Cluster III,2376.566206
TCGA.GU.A42Q.01,Cluster III,1907.241152
TCGA.GU.A762.01,Cluster III,3283.274374
TCGA.GU.A764.01,Cluster III,2785.841928
TCGA.GU.A766.01,Cluster III,3554.210013
TCGA.GU.AATQ.01,Cluster III,2130.346826
TCGA.GV.A40E.01,Cluster III,2458.605627
TCGA.HQ.A5ND.01,Cluster III,2100.976387
