,ACVR1,AXIN2,BAMBI,BMP2,COL1A1,DAB2,ENG,EZH2,FGFR2,HEY1,HGF,HIF1A,HMGA2,IL1B,IL6,JAG1,LEF1,LOXL2,MSX1,PDCD4,S100A4,SMAD2,SMAD4,SNAI1,SNAI2,SOX9,SPRY1,TCF7L2,TGFB1,TGFB3,TGFBR2,TGFBR3,TWIST1,WNT2,WNT5A
TCGA.2F.A9KO.01,9.18,7.48,11,12.39,15.52,9.18,10.62,9.08,10.67,8.68,5.83,11.2,4.01,9.02,7.71,13.05,7.36,9.06,5.52,10.14,9.93,10.28,10.47,6.65,10.07,8.38,8.29,9.73,10.51,8.63,10.28,9.89,6.73,7.98,11.15
TCGA.2F.A9KP.01,8.34,5.83,11.79,7.72,12.53,8.24,11.1,8.46,9.81,7.56,2.48,11.57,0.5,7.92,7.27,11.47,6.47,8.27,5.22,10.49,10.77,10.67,10.33,6.11,8.46,9.14,10.1,9.25,9.94,7.12,10.15,11.43,4.58,2.37,9.98
TCGA.2F.A9KQ.01,8.67,5.63,9.76,8.79,14.23,8.92,11.43,8.36,7.47,8.71,5.27,11.66,1.51,5.63,2.99,10.63,7.15,10.31,7.53,11.39,14.25,9.9,9.8,6.06,7.68,8.5,8.59,9.15,11.78,6.74,10.67,10.17,5.45,6.58,9.24
TCGA.2F.A9KR.01,9.48,7.26,7.43,8.99,13.84,7.82,10.2,8.94,9.28,5.4,3.26,11.2,0.96,5.94,4.25,10.9,5.28,8.26,6.53,9.77,10.86,10.16,9.85,5.28,9.09,10.03,9.55,8.94,10.51,7.54,9.72,8.93,5.21,6.01,12.27
TCGA.2F.A9KT.01,8.7,4.95,5.65,8.76,15.84,8.35,10.44,8.52,7.9,9.58,1.43,11.5,6.63,10.59,3.69,11.02,6.13,9.22,5.94,10.2,8.96,10.68,10.17,5.22,10.98,11.19,6.79,10.12,11.15,7.26,10.7,7.86,5.15,7.2,9.7
TCGA.2F.A9KW.01,7.95,7.89,11.91,6.47,14.92,10.33,12.9,8.92,4.56,9.96,5.27,11.96,2.76,9.4,7.25,10.47,7.38,10.37,6.19,10.05,11.41,9.93,9.37,7.16,7.22,6.12,10.95,9.52,11.43,7.64,10.94,10.25,6.91,5.96,7.86
TCGA.4Z.AA7M.01,8.17,7.05,12.15,5.31,15.51,9.1,10.04,9.21,13.47,6.37,2.56,11.1,0.63,8.49,5.07,11.77,6.22,8.52,6.19,11.51,8.68,10.27,9.69,4.54,8.57,5.61,9.75,10.37,9.79,8.36,10.04,11.44,6.23,5.64,13.47
TCGA.4Z.AA7N.01,9.14,7.24,11.09,10.5,17.4,10.08,11.48,8.64,9.73,7.11,5.83,12.4,0,7.87,8.69,11.85,9.58,9.6,6.57,11.52,11.24,10.52,10.54,8.65,8.8,8.3,9.64,9.34,11.45,10.05,11.98,10.45,7.09,7.65,10.6
TCGA.4Z.AA7O.01,9.73,7.77,9.39,12.1,15.25,8.72,10.95,8.6,9.62,9.24,3.84,11.35,3.46,6.35,3.37,11.53,6.93,9.24,5.72,10.97,14.7,10.95,10.64,4.79,10.76,5.81,9,9.36,10.79,7.55,10.81,11.15,5.13,6.73,11.52
TCGA.4Z.AA7Q.01,9.1,7.32,4.75,5.84,13.58,9.69,11.25,9.8,8.41,7.31,2.93,12.43,1.58,5.42,3.41,10.09,6.6,7.86,4.71,9.85,10.35,10.88,9.63,6.15,8.44,8.44,10.47,7.82,9.67,8.43,9.86,8.05,5.64,5.95,10.45
