Status,Location,Ch,,Chr,Rank,P1,P2,P3,P4,F1,F2,F3,F4,FC1,FC2,FC3,FC4
Del,1p13.2,Ch01,,Chr1p13.2,1,0.007841769,0.392590014,2.02E-11,7.79E-18,0.244173141,0.226101695,0.287049399,0.164268164,1.138486524,1.039087685,1.385309513,0.667973993
Amp,1p22.3,Ch01,,Chr1p22.3,2,2.23E-14,3.20E-10,2.15E-08,1.54E-05,0.056603774,0.136949153,0.148865154,0.085995086,0.473667128,1.477369016,1.50668979,0.737269256
Amp,1p34.2 ,Ch01,,Chr1p34.2 ,3,7.90E-67,6.84E-56,1.03E-68,1.59E-50,0.29245283,0.596949153,0.684913218,0.358722359,0.560259465,1.425491394,1.572817331,0.676528287
Del,1p36.11 ,Ch01,,Chr1p36.11 ,4,0.981120389,1.33E-12,0.085532799,1.24E-17,0.271920089,0.321016949,0.291722296,0.212706213,0.997085873,1.287627671,1.085355445,0.709399055
Del,1p36.23,Ch01,,Chr1p36.23,5,0.008833364,2.17E-08,0.161580219,8.19E-20,0.289678135,0.302711864,0.280373832,0.201474201,1.120180898,1.227820089,1.071453743,0.686220032
Amp,1q21.3 ,Ch01,,Chr1q21.3 ,6,3.54E-33,2.48E-50,0.026370849,4.81E-11,0.263596004,0.499661017,0.415220294,0.338013338,0.6287872,1.49146388,1.083821927,0.821697146
Amp,1q32.1 ,Ch01,,Chr1q32.1 ,7,1.19E-35,1.01E-44,0.041032057,2.87E-07,0.250832408,0.484067797,0.404539386,0.340821341,0.609092873,1.466995013,1.078535206,0.856851722
Amp,1q44 ,Ch01,,Chr1q44 ,8,4.32E-37,3.45E-39,0.002403527,1.87E-06,0.242508324,0.470847458,0.40987984,0.337662338,0.596824027,1.438271742,1.117466522,0.864913775
Del,2q22.1 ,Ch02,,Chr2q22.1 ,9,6.58E-08,6.01E-08,2.70E-62,6.23E-45,0.132075472,0.20779661,0.327102804,0.091611092,0.706565042,1.291952837,2.235888859,0.426971903
Amp,2q31.2,Ch02,,Chr2q31.2,10,1.53E-22,3.11E-08,5.11E-25,4.98E-08,0.086570477,0.195254237,0.255006676,0.131976132,0.473541808,1.313586767,1.749373412,0.740440597
Del,2q37.3,Ch02,,Chr2q37.3,11,8.87E-07,0.000393888,1.03E-67,9.84E-40,0.138734739,0.2,0.337783712,0.099333099,0.734117035,1.183638114,2.286281382,0.461242103
Del,3p14.2 ,Ch03,,Chr3p14.2 ,12,8.80E-83,1.99E-12,1.43E-227,0.063457941,0.138734739,0.282033898,0.692923899,0.319059319,0.364284776,0.789361147,2.645361403,0.940622993
Del,3p26.3,Ch03,,Chr3p26.3,13,9.84E-70,1.48E-22,1.00E-179,0.019410374,0.119311876,0.222711864,0.598798398,0.307476307,0.358279324,0.688860792,2.603813857,1.086335173
Amp,3q26.2 ,Ch03,,Chr3q26.2 ,14,9.81E-59,0.00297558,7.58E-275,2.55E-66,0.177025527,0.362033898,0.738317757,0.211653212,0.465162143,1.097705346,2.820077021,0.530618762
Del,4p16.3,Ch04,,Chr4p16.3,15,4.19E-41,2.47E-11,2.42E-95,1.94E-31,0.1381798,0.309830508,0.481975968,0.183573184,0.467020844,1.275199328,2.172894029,0.608664402
Amp,4p16.3 ,Ch04,,Chr4p16.3 ,16,0.002288069,6.38E-15,0.087598782,2.64E-11,0.073806881,0.12779661,0.105473965,0.062478062,0.755355978,1.675525279,1.165272689,0.58456271
Amp,4q12 ,Ch04,,Chr4q12 ,17,5.22E-12,5.35E-07,1.35E-22,3.56E-12,0.056603774,0.12440678,0.171562083,0.068094068,0.504936107,1.383322402,1.966882943,0.586209264
